Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
163.16967	0.66970000	904.32849	0.0011057929	688.51971	689.26026	1.9741428	3.4650305	4.3451682	1435.6362	-0.13147514	0.00016690073	0.67783588	0.045901827	3.5156522	0.28444224	2570.3845	2760.8755	6.7220728	1.8228351	2.5206148	497.16504	34.428322	1.4411818e-05	0.032184749
165.31074	0.70635000	902.19510	0.0011084077	697.80872	698.59165	1.9953843	3.4558438	4.3520433	1430.3743	-0.12943208	0.00016459874	0.67716336	0.045434624	3.6975112	0.27045219	2572.0999	2763.1338	6.7039978	1.8355218	2.5431504	497.72828	33.742489	1.4484880e-05	0.032504214
167.36533	0.74300000	900.12863	0.0011109523	706.73532	707.56076	2.0156999	3.4471013	4.3588318	1425.2344	-0.12743239	0.00016244900	0.67647054	0.044984884	3.8790371	0.25779594	2573.7109	2765.2533	6.6868031	1.8478935	2.5652947	498.24978	33.099216	1.4554949e-05	0.032815345
169.34105	0.77965000	898.12361	0.0011134325	715.33133	716.19942	2.0351741	3.4387624	4.3655404	1420.2086	-0.12547217	0.00016043448	0.67576252	0.044551128	4.0602632	0.24628946	2575.2272	2767.2468	6.6704031	1.8599680	2.5870719	498.73360	32.493970	1.4622292e-05	0.033118829
171.24452	0.81630000	896.17522	0.0011158532	723.62443	724.53530	2.0538801	3.4307913	4.3721749	1415.2899	-0.12354801	0.00015854073	0.67504280	0.044132069	4.2412196	0.23578124	2576.6570	2769.1252	6.6547243	1.8717618	2.6085039	499.18323	31.922899	1.4687143e-05	0.033415263
173.08151	0.85295000	894.27924	0.0011182190	731.63885	732.59263	2.0718818	3.4231574	4.3787408	1410.4721	-0.12165690	0.00015675544	0.67431398	0.043726573	4.4219336	0.22614541	2578.0076	2770.8983	6.6397028	1.8832897	2.6296108	499.60171	31.382698	1.4749704e-05	0.033705176
174.85713	0.88960000	892.43192	0.0011205337	739.39592	740.39275	2.0892353	3.4158334	4.3852427	1405.7492	-0.11979621	0.00015506799	0.67357808	0.043333641	4.6024301	0.21727652	2579.2852	2772.5744	6.6252829	1.8945655	2.6504107	499.99170	30.870515	1.4810156e-05	0.033989037
176.57589	0.92625000	890.62991	0.0011228008	746.91455	747.95455	2.1059902	3.4087953	4.3916851	1401.1161	-0.11796358	0.00015346920	0.67283672	0.042952385	4.7827317	0.20908553	2580.4956	2774.1610	6.6114157	1.9056017	2.6709207	500.35551	30.383870	1.4868655e-05	0.034267261
178.24180	0.96290000	888.87021	0.0011250236	754.21157	755.29485	2.1221903	3.4020219	4.3980718	1396.5680	-0.11615691	0.00015195107	0.67209121	0.042582011	4.9628592	0.20149675	2581.6436	2775.6648	6.5980579	1.9164100	2.6911563	500.69522	29.920591	1.4925344e-05	0.034540222
179.85845	0.99955000	887.15015	0.0011272049	761.30201	762.42870	2.1378749	3.3954943	4.4044065	1392.1005	-0.11437432	0.00015050659	0.67134264	0.042221809	5.1428319	0.19444540	2582.7336	2777.0915	6.5851713	1.9270012	2.7111317	501.01264	29.478768	1.4980348e-05	0.034808256
181.42907	1.0362000	885.46728	0.0011293472	768.19938	769.36961	2.1530791	3.3891954	4.4106925	1387.7094	-0.11261411	0.00014912959	0.67059191	0.041871140	5.3226674	0.18787572	2583.7698	2778.4466	6.5727216	1.9373853	2.7308605	501.30941	29.056712	1.5033781e-05	0.035071665
182.95657	1.0728500	883.81941	0.0011314529	774.91588	776.12976	2.1678344	3.3831102	4.4169329	1383.3912	-0.11087475	0.00014781463	0.66983977	0.041529425	5.5023822	0.18173947	2584.7555	2779.7347	6.5606783	1.9475716	2.7503551	501.58699	28.652921	1.5085744e-05	0.035330725
184.44357	1.1095000	882.20453	0.0011335240	781.46252	782.72017	2.1821693	3.3772247	4.4231304	1379.1423	-0.10915484	0.00014655685	0.66908686	0.041196139	5.6819915	0.17599463	2585.6941	2780.9602	6.5490139	1.9575689	2.7696271	501.84667	28.266055	1.5136330e-05	0.035585686
185.89247	1.1461500	880.62082	0.0011355625	787.84933	789.15086	2.1961097	3.3715265	4.4292877	1374.9596	-0.10745311	0.00014535192	0.66833372	0.040870804	5.8615096	0.17060452	2586.5884	2782.1268	6.5377035	1.9673853	2.7886873	502.08965	27.894911	1.5185622e-05	0.035836775
187.30544	1.1828000	879.06659	0.0011375702	794.08542	795.43094	2.2096789	3.3660044	4.4354071	1370.8402	-0.10576840	0.00014419598	0.66758081	0.040552986	6.0409496	0.16553689	2587.4412	2783.2382	6.5267247	1.9770284	2.8075460	502.31699	27.538409	1.5233697e-05	0.036084203
188.68448	1.2194500	877.54033	0.0011395488	800.17914	801.56876	2.2228984	3.3606480	4.4414909	1366.7813	-0.10409965	0.00014308556	0.66682851	0.040242283	6.2203242	0.16076333	2588.2547	2784.2975	6.5160572	1.9865055	2.8262127	502.52966	27.195573	1.5280624e-05	0.036328161
190.03139	1.2561000	876.04060	0.0011414996	806.13811	807.57195	2.2357877	3.3554479	4.4475412	1362.7803	-0.10244588	0.00014201751	0.66607717	0.039938331	6.3996449	0.15625867	2589.0312	2785.3077	6.5056823	1.9958232	2.8446964	502.72855	26.865517	1.5326467e-05	0.036568826
191.34786	1.2927500	874.56612	0.0011434241	811.96937	813.44754	2.2483647	3.3503955	4.4535600	1358.8348	-0.10080620	0.00014098900	0.66532707	0.039640792	6.5789227	0.15200057	2589.7727	2786.2715	6.4955832	2.0049878	2.8630056	502.91445	26.547438	1.5371284e-05	0.036806361
192.63543	1.3294000	873.11567	0.0011453236	817.67938	819.20198	2.2606459	3.3454829	4.4595490	1354.9427	-0.099179757	0.00013999745	0.66457845	0.039349353	6.7581679	0.14796910	2590.4811	2787.1913	6.4857443	2.0140054	2.8811482	503.08810	26.240603	1.5415130e-05	0.037040918
